"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Thu Aug 12 2021 00:00:00 GMT+0530 (India Standard Time)","12.60","13.40","12.60","13.25","5.16","4.89","6,107,851"
"Fri Aug 13 2021 00:00:00 GMT+0530 (India Standard Time)","13.30","14.15","13.20","13.90","4.91","4.63","11,137,438"
"Mon Aug 16 2021 00:00:00 GMT+0530 (India Standard Time)","13.90","13.95","13.45","13.50","-2.88","-3.15","3,574,350"
"Tue Aug 17 2021 00:00:00 GMT+0530 (India Standard Time)","13.50","13.55","12.90","13.10","-2.96","-3.24","3,829,738"
"Wed Aug 18 2021 00:00:00 GMT+0530 (India Standard Time)","13.15","13.15","12.90","12.95","-1.15","-1.42","2,469,036"
"Fri Aug 20 2021 00:00:00 GMT+0530 (India Standard Time)","12.80","12.95","12.65","12.85","-0.77","-1.05","2,311,569"
"Mon Aug 23 2021 00:00:00 GMT+0530 (India Standard Time)","12.90","13.05","12.50","12.55","-2.33","-2.61","2,633,696"
"Tue Aug 24 2021 00:00:00 GMT+0530 (India Standard Time)","12.60","12.75","12.50","12.60","0.40","0.13","2,309,406"
"Wed Aug 25 2021 00:00:00 GMT+0530 (India Standard Time)","12.65","12.85","12.60","12.65","0.40","0.12","2,249,479"
"Thu Aug 26 2021 00:00:00 GMT+0530 (India Standard Time)","12.60","12.75","12.55","12.60","-0.40","-0.67","1,805,611"
"Fri Aug 27 2021 00:00:00 GMT+0530 (India Standard Time)","12.60","12.80","12.55","12.70","0.79","0.52","1,914,143"
"Mon Aug 30 2021 00:00:00 GMT+0530 (India Standard Time)","12.70","13.20","12.65","12.95","1.97","1.70","5,239,515"
"Tue Aug 31 2021 00:00:00 GMT+0530 (India Standard Time)","12.90","13.10","12.75","12.80","-1.16","-1.43","3,394,160"
"Wed Sep 01 2021 00:00:00 GMT+0530 (India Standard Time)","12.80","13.00","12.75","12.80","0","-0.27","2,290,275"
"Thu Sep 02 2021 00:00:00 GMT+0530 (India Standard Time)","12.80","12.95","12.75","12.80","0","-0.27","2,249,732"
"Fri Sep 03 2021 00:00:00 GMT+0530 (India Standard Time)","12.85","13.10","12.80","12.85","0.39","0.12","3,017,138"
"Mon Sep 06 2021 00:00:00 GMT+0530 (India Standard Time)","12.90","13.00","12.80","12.90","0.39","0.12","2,078,546"
"Tue Sep 07 2021 00:00:00 GMT+0530 (India Standard Time)","12.95","12.95","12.75","12.80","-0.78","-1.05","1,462,611"
"Wed Sep 08 2021 00:00:00 GMT+0530 (India Standard Time)","12.85","12.95","12.75","12.80","0","-0.27","1,362,143"
"Thu Sep 09 2021 00:00:00 GMT+0530 (India Standard Time)","14.90","14.90","14.05","14.20","10.94","10.66","50,696,692"
"Mon Sep 13 2021 00:00:00 GMT+0530 (India Standard Time)","14.20","14.20","13.75","13.80","-2.82","-3.09","9,214,812"
"Tue Sep 14 2021 00:00:00 GMT+0530 (India Standard Time)","13.85","13.90","13.50","13.55","-1.81","-2.08","5,862,626"
"Wed Sep 15 2021 00:00:00 GMT+0530 (India Standard Time)","13.55","13.75","13.40","13.60","0.37","0.10","5,683,208"
"Thu Sep 16 2021 00:00:00 GMT+0530 (India Standard Time)","13.60","14.55","13.60","14.35","5.51","5.24","20,860,581"
"Fri Sep 17 2021 00:00:00 GMT+0530 (India Standard Time)","14.45","14.55","13.75","13.90","-3.14","-3.41","10,882,514"
"Mon Sep 20 2021 00:00:00 GMT+0530 (India Standard Time)","13.75","13.90","13.55","13.65","-1.80","-2.07","4,298,069"
"Tue Sep 21 2021 00:00:00 GMT+0530 (India Standard Time)","13.65","13.75","13.15","13.45","-1.47","-1.74","8,325,301"
"Wed Sep 22 2021 00:00:00 GMT+0530 (India Standard Time)","13.40","13.55","13.30","13.40","-0.37","-0.64","2,749,803"
"Thu Sep 23 2021 00:00:00 GMT+0530 (India Standard Time)","13.55","13.65","13.40","13.45","0.37","0.10","2,995,060"
"Fri Sep 24 2021 00:00:00 GMT+0530 (India Standard Time)","13.50","13.55","13.30","13.35","-0.74","-1.02","2,593,443"
"Mon Sep 27 2021 00:00:00 GMT+0530 (India Standard Time)","13.50","13.50","13.15","13.20","-1.12","-1.40","3,882,285"
"Tue Sep 28 2021 00:00:00 GMT+0530 (India Standard Time)","13.30","13.45","13.15","13.20","0","-0.27","3,515,426"
"Wed Sep 29 2021 00:00:00 GMT+0530 (India Standard Time)","13.10","13.85","13.05","13.35","1.14","0.86","8,088,568"
"Thu Sep 30 2021 00:00:00 GMT+0530 (India Standard Time)","13.50","14.25","13.50","13.65","2.25","1.97","14,370,338"
"Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time)","13.55","13.70","13.40","13.65","0","-0.27","6,933,316"
"Mon Oct 04 2021 00:00:00 GMT+0530 (India Standard Time)","13.65","14.00","13.60","13.75","0.73","0.46","4,637,171"
"Tue Oct 05 2021 00:00:00 GMT+0530 (India Standard Time)","13.65","13.80","13.60","13.75","0","-0.27","3,878,318"
"Wed Oct 06 2021 00:00:00 GMT+0530 (India Standard Time)","13.70","13.85","13.50","13.50","-1.82","-2.09","3,479,726"
"Thu Oct 07 2021 00:00:00 GMT+0530 (India Standard Time)","13.65","13.70","13.50","13.55","0.37","0.10","2,702,303"
"Fri Oct 08 2021 00:00:00 GMT+0530 (India Standard Time)","13.65","15.20","13.55","14.80","9.23","8.95","21,158,850"
"Mon Oct 11 2021 00:00:00 GMT+0530 (India Standard Time)","14.80","14.90","14.10","14.25","-3.72","-3.99","13,634,282"
"Tue Oct 12 2021 00:00:00 GMT+0530 (India Standard Time)","14.05","14.55","13.95","14.30","0.35","0.08","13,853,676"
"Wed Oct 13 2021 00:00:00 GMT+0530 (India Standard Time)","14.30","14.50","14.25","14.35","0.35","0.08","8,439,305"
"Thu Oct 14 2021 00:00:00 GMT+0530 (India Standard Time)","14.35","14.60","14.25","14.30","-0.35","-0.62","7,269,660"
"Mon Oct 18 2021 00:00:00 GMT+0530 (India Standard Time)","14.40","14.80","14.35","14.65","2.45","2.17","17,161,006"
"Tue Oct 19 2021 00:00:00 GMT+0530 (India Standard Time)","14.70","14.95","14.20","14.30","-2.39","-2.66","10,361,105"
"Wed Oct 20 2021 00:00:00 GMT+0530 (India Standard Time)","14.30","14.35","14.05","14.10","-1.40","-1.67","6,271,571"
"Thu Oct 21 2021 00:00:00 GMT+0530 (India Standard Time)","14.20","14.90","14.15","14.65","3.90","3.63","18,684,710"
"Fri Oct 22 2021 00:00:00 GMT+0530 (India Standard Time)","14.75","14.95","14.35","14.45","-1.37","-1.64","11,235,915"
"Mon Oct 25 2021 00:00:00 GMT+0530 (India Standard Time)","14.60","14.85","14.20","14.55","0.69","0.42","11,233,682"
"Tue Oct 26 2021 00:00:00 GMT+0530 (India Standard Time)","14.55","15.10","14.50","14.75","1.37","1.10","10,897,543"
"Wed Oct 27 2021 00:00:00 GMT+0530 (India Standard Time)","14.80","15.30","14.60","14.65","-0.68","-0.95","20,730,304"
"Thu Oct 28 2021 00:00:00 GMT+0530 (India Standard Time)","14.75","14.95","14.30","14.40","-1.71","-1.98","23,374,638"
"Fri Oct 29 2021 00:00:00 GMT+0530 (India Standard Time)","14.55","14.75","14.35","14.40","0","-0.27","11,062,644"
"Mon Nov 01 2021 00:00:00 GMT+0530 (India Standard Time)","14.50","14.55","14.30","14.35","-0.35","-0.62","4,264,492"
"Tue Nov 02 2021 00:00:00 GMT+0530 (India Standard Time)","14.40","14.55","14.30","14.35","0","-0.27","5,711,789"
"Wed Nov 03 2021 00:00:00 GMT+0530 (India Standard Time)","14.40","14.45","14.15","14.25","-0.70","-0.97","3,778,817"
"Thu Nov 04 2021 00:00:00 GMT+0530 (India Standard Time)","14.30","14.45","14.30","14.40","1.05","0.78","1,125,458"
"Mon Nov 08 2021 00:00:00 GMT+0530 (India Standard Time)","14.45","14.60","14.35","14.55","1.04","0.77","5,353,237"
"Tue Nov 09 2021 00:00:00 GMT+0530 (India Standard Time)","14.55","14.80","14.55","14.65","0.69","0.41","5,278,301"
"Wed Nov 10 2021 00:00:00 GMT+0530 (India Standard Time)","14.55","14.70","14.40","14.45","-1.37","-1.64","3,396,748"
"Thu Nov 11 2021 00:00:00 GMT+0530 (India Standard Time)","14.40","14.50","14.20","14.25","-1.38","-1.66","3,797,740"
"Fri Nov 12 2021 00:00:00 GMT+0530 (India Standard Time)","14.30","14.40","14.05","14.10","-1.05","-1.33","4,301,307"
"Mon Nov 15 2021 00:00:00 GMT+0530 (India Standard Time)","14.15","14.25","13.90","13.95","-1.06","-1.34","3,028,365"
"Tue Nov 16 2021 00:00:00 GMT+0530 (India Standard Time)","13.95","14.00","13.60","13.60","-2.51","-2.78","6,463,142"
"Wed Nov 17 2021 00:00:00 GMT+0530 (India Standard Time)","13.60","13.85","13.55","13.65","0.37","0.09","3,119,378"
